Evaluation

batch_size=1000
cross_fold_id=-1
cross_folds_num=-1
data_name='adult'
dataset_sort=False
dropout_ratio=0
epoch_num=300
evaluator='token-acc'
gpu=0
hadamard_importance=False
hidden_dim=50
input_dim=66
kmeans_init=True
lambda_sep=0.1
latent_dim=None
load_name=None
lr=0.001
lr_decay=0
max_pool_protos=True
min_epoch_num=1
model='ProtoMLP'
momentum=0.9
no_eval_til=0
num_prototypes_per_class=20
opt='sgd'
patience=150
pooling_type='attention'
pre_eval=False
pretrained_model='mlp-16d'
proto_dim=16
push_after=80
save_best=True
save_data=False
save_dir='saved_models'
save_name='proto-20-push80'
seed_num=10
similarity_epsilon=0.01
similarity_function_name='gaussian'
start_epoch=0
unfreeze_feature_extractor=0
unfreeze_lin_layer=1000
verbose=True
weight_decay=0.0001

         epoch  |     train loss | token-acc-train |  token-acc-dev | token-acc-test |      cross_ent |         l1-pen |       sep_loss 
            194 |           0.28 |          83.48 |          81.57 |          82.35 |           0.48 |           0.00 |          -1.95 
            195 |           0.29 |          83.46 |          81.44 |          82.28 |           0.49 |           0.00 |          -1.91 
            196 |           0.27 |          83.38 |          81.51 |          82.09 |           0.47 |           0.00 |          -2.02 
            197 |           0.27 |          83.34 |          81.57 |          82.15 |           0.48 |           0.00 |          -2.03 
            198 |           0.30 |          83.35 |          81.57 |          82.15 |           0.49 |           0.00 |          -1.96 
            199 |           0.31 |          83.45 |          81.19 |          82.41 |           0.48 |           0.00 |          -1.68 
            200 |           0.32 |          83.46 |          81.31 |          82.35 |           0.49 |           0.00 |          -1.69 
            201 |           0.31 |          83.42 |          81.25 |          82.35 |           0.48 |           0.00 |          -1.72 
            202 |           0.31 |          83.38 |          81.51 |          82.35 |           0.49 |           0.00 |          -1.76 
            203 |           0.30 |          83.40 |          81.38 |          82.28 |           0.48 |           0.00 |          -1.84 
            204 |           0.28 |          83.30 |          81.51 |          81.84 |           0.47 |           0.00 |          -1.94 
            205 |           0.30 |          83.39 |          81.57 |          81.90 |           0.49 |           0.00 |          -1.84 
            206 |           0.30 |          83.40 |          81.51 |          82.03 |           0.48 |           0.00 |          -1.86 
            207 |           0.28 |          83.40 |          81.57 |          81.96 |           0.47 |           0.00 |          -1.95 
            208 |           0.29 |          83.44 |          81.57 |          82.03 |           0.49 |           0.00 |          -1.97 
            209 |           0.26 |          83.37 |          81.38 |          82.03 |           0.46 |           0.00 |          -2.08 
            210 |           0.30 |          83.47 |          81.44 |          82.09 |           0.50 |           0.00 |          -1.95 
            211 |           0.28 |          83.26 |          81.38 |          81.90 |           0.48 |           0.00 |          -2.04 
            212 |           0.30 |          83.26 |          81.38 |          81.96 |           0.48 |           0.00 |          -1.81 
            213 |           0.29 |          83.37 |          81.31 |          81.84 |           0.48 |           0.00 |          -1.90 
            214 |           0.30 |          83.40 |          81.31 |          81.84 |           0.48 |           0.00 |          -1.80 
            215 |           0.28 |          83.40 |          81.38 |          81.90 |           0.47 |           0.00 |          -1.92 
            216 |           0.29 |          83.37 |          81.44 |          81.84 |           0.49 |           0.00 |          -1.91 
            217 |           0.29 |          83.38 |          81.31 |          81.90 |           0.48 |           0.00 |          -1.93 
            218 |           0.28 |          83.34 |          81.38 |          81.90 |           0.48 |           0.00 |          -1.97 
            219 |           0.26 |          83.37 |          81.44 |          81.84 |           0.47 |           0.00 |          -2.07 
            220 |           0.27 |          83.39 |          81.38 |          81.90 |           0.48 |           0.00 |          -2.03 
            221 |           0.26 |          83.38 |          81.38 |          81.84 |           0.47 |           0.00 |          -2.08 
            222 |           0.28 |          83.40 |          81.44 |          81.84 |           0.48 |           0.00 |          -2.05 
            223 |           0.29 |          83.42 |          81.44 |          81.96 |           0.49 |           0.00 |          -2.07 
            224 |           0.29 |          83.45 |          81.38 |          82.09 |           0.49 |           0.00 |          -2.00 
            225 |           0.28 |          83.53 |          81.44 |          82.09 |           0.48 |           0.00 |          -2.04 
            226 |           0.27 |          83.47 |          81.51 |          82.03 |           0.48 |           0.00 |          -2.10 
            227 |           0.26 |          83.46 |          81.57 |          81.84 |           0.47 |           0.00 |          -2.12 
            228 |           0.27 |          83.49 |          81.51 |          81.96 |           0.48 |           0.00 |          -2.09 
            229 |           0.26 |          83.54 |          81.44 |          82.03 |           0.47 |           0.00 |          -2.14 
            230 |           0.27 |          83.49 |          81.57 |          82.09 |           0.48 |           0.00 |          -2.10 
            231 |           0.27 |          83.46 |          81.57 |          82.09 |           0.48 |           0.00 |          -2.08 
            232 |           0.27 |          83.55 |          81.44 |          82.03 |           0.49 |           0.00 |          -2.12 
            233 |           0.25 |          83.50 |          81.51 |          81.96 |           0.47 |           0.00 |          -2.24 
            234 |           0.30 |          83.52 |          81.44 |          81.96 |           0.50 |           0.00 |          -2.03 
            235 |           0.27 |          83.60 |          81.44 |          81.96 |           0.48 |           0.00 |          -2.10 
            236 |           0.25 |          83.52 |          81.51 |          81.84 |           0.47 |           0.00 |          -2.18 
            237 |           0.28 |          83.60 |          81.31 |          82.03 |           0.49 |           0.00 |          -2.06 
